Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
VER,33.0,0 days 00:01:18.727000,4.0,0 days 01:44:07.500000,0 days 00:00:23.223000,0 days 00:00:31.744000,0 days 00:00:23.760000
VER,34.0,0 days 00:01:18.924000,4.0,0 days 01:45:26.424000,0 days 00:00:23.391000,0 days 00:00:31.799000,0 days 00:00:23.734000
VER,35.0,0 days 00:01:19.141000,4.0,0 days 01:46:45.565000,0 days 00:00:23.255000,0 days 00:00:31.951000,0 days 00:00:23.935000
VER,36.0,0 days 00:01:19.218000,3.0,0 days 01:48:04.783000,0 days 00:00:23.123000,0 days 00:00:32.125000,0 days 00:00:23.970000
VER,37.0,0 days 00:01:19.108000,3.0,0 days 01:49:23.891000,0 days 00:00:23.156000,0 days 00:00:32.017000,0 days 00:00:23.935000
VER,38.0,0 days 00:01:19.443000,3.0,0 days 01:50:43.334000,0 days 00:00:23.405000,0 days 00:00:32.084000,0 days 00:00:23.954000
VER,39.0,0 days 00:01:19.650000,3.0,0 days 01:52:02.984000,0 days 00:00:23.452000,0 days 00:00:32.135000,0 days 00:00:24.063000
VER,40.0,0 days 00:01:19.726000,3.0,0 days 01:53:22.710000,0 days 00:00:23.399000,0 days 00:00:32.217000,0 days 00:00:24.110000
VER,41.0,0 days 00:01:19.922000,3.0,0 days 01:54:42.632000,0 days 00:00:23.454000,0 days 00:00:32.369000,0 days 00:00:24.099000
VER,42.0,0 days 00:01:19.963000,3.0,0 days 01:56:02.595000,0 days 00:00:23.507000,0 days 00:00:32.265000,0 days 00:00:24.191000
VER,43.0,0 days 00:01:20.134000,3.0,0 days 01:57:22.729000,0 days 00:00:23.436000,0 days 00:00:32.388000,0 days 00:00:24.310000
VER,44.0,0 days 00:01:19.840000,3.0,0 days 01:58:42.569000,0 days 00:00:23.298000,0 days 00:00:32.335000,0 days 00:00:24.207000
VER,45.0,0 days 00:01:20.301000,3.0,0 days 02:00:02.870000,0 days 00:00:23.659000,0 days 00:00:32.452000,0 days 00:00:24.190000
VER,46.0,0 days 00:01:20.367000,3.0,0 days 02:01:23.237000,0 days 00:00:23.664000,0 days 00:00:32.206000,0 days 00:00:24.497000
VER,47.0,0 days 00:01:23.558000,3.0,0 days 02:02:46.795000,0 days 00:00:23.728000,0 days 00:00:32.149000,0 days 00:00:27.681000
VER,48.0,0 days 00:01:35.915000,3.0,0 days 02:04:22.710000,0 days 00:00:41.938000,0 days 00:00:30.996000,0 days 00:00:22.981000
VER,49.0,0 days 00:01:17.141000,3.0,0 days 02:05:39.851000,0 days 00:00:22.900000,0 days 00:00:31.039000,0 days 00:00:23.202000
VER,50.0,0 days 00:01:17.997000,3.0,0 days 02:06:57.848000,0 days 00:00:22.886000,0 days 00:00:31.646000,0 days 00:00:23.465000
VER,51.0,0 days 00:01:18.734000,3.0,0 days 02:08:16.582000,0 days 00:00:23.240000,0 days 00:00:31.725000,0 days 00:00:23.769000
VER,52.0,0 days 00:01:18.682000,3.0,0 days 02:09:35.264000,0 days 00:00:22.719000,0 days 00:00:32.226000,0 days 00:00:23.737000
VER,53.0,0 days 00:01:18.941000,3.0,0 days 02:10:54.205000,0 days 00:00:23.353000,0 days 00:00:31.908000,0 days 00:00:23.680000
VER,54.0,0 days 00:01:18.584000,3.0,0 days 02:12:12.789000,0 days 00:00:23.290000,0 days 00:00:31.708000,0 days 00:00:23.586000
VER,55.0,0 days 00:01:34.644000,3.0,0 days 02:13:47.433000,0 days 00:00:23.359000,0 days 00:00:38.480000,0 days 00:00:32.805000
VER,56.0,0 days 00:02:25.126000,3.0,0 days 02:16:12.559000,0 days 00:00:50.508000,0 days 00:00:54.769000,0 days 00:00:39.849000
VER,57.0,0 days 00:02:06.705000,3.0,0 days 02:18:19.264000,0 days 00:00:38.353000,0 days 00:00:48.618000,0 days 00:00:39.734000
VER,58.0,0 days 00:02:08.675000,3.0,0 days 02:20:27.939000,0 days 00:00:37.403000,0 days 00:00:49.887000,0 days 00:00:41.385000
VER,59.0,0 days 00:02:02.657000,3.0,0 days 02:22:30.596000,0 days 00:00:37.540000,0 days 00:00:48.275000,0 days 00:00:36.842000
VER,60.0,0 days 00:02:02.501000,3.0,0 days 02:24:33.097000,0 days 00:00:35.804000,0 days 00:00:45.499000,0 days 00:00:41.198000
VER,61.0,0 days 00:01:18.862000,4.0,0 days 02:25:51.959000,0 days 00:00:23.624000,0 days 00:00:32.097000,0 days 00:00:23.141000
VER,62.0,0 days 00:01:17.019000,4.0,0 days 02:27:08.978000,0 days 00:00:22.725000,0 days 00:00:30.995000,0 days 00:00:23.299000
VER,63.0,0 days 00:01:17.608000,4.0,0 days 02:28:26.586000,0 days 00:00:22.882000,0 days 00:00:31.341000,0 days 00:00:23.385000
VER,64.0,0 days 00:01:20.060000,5.0,0 days 02:29:46.646000,0 days 00:00:22.740000,0 days 00:00:32.759000,0 days 00:00:24.561000
VER,65.0,0 days 00:01:18.122000,5.0,0 days 02:31:04.768000,0 days 00:00:22.835000,0 days 00:00:31.771000,0 days 00:00:23.516000
VER,66.0,0 days 00:01:18.081000,5.0,0 days 02:32:22.849000,0 days 00:00:22.562000,0 days 00:00:31.942000,0 days 00:00:23.577000
GAS,1.0,0 days 00:01:27.934000,8.0,0 days 01:00:41.582000,,0 days 00:00:34.300000,0 days 00:00:24.572000
GAS,2.0,0 days 00:01:22.663000,8.0,0 days 01:02:04.245000,0 days 00:00:24.576000,0 days 00:00:33.518000,0 days 00:00:24.569000
GAS,3.0,0 days 00:01:22.133000,8.0,0 days 01:03:26.378000,0 days 00:00:24.330000,0 days 00:00:33.287000,0 days 00:00:24.516000
GAS,4.0,0 days 00:01:21.329000,8.0,0 days 01:04:47.707000,0 days 00:00:24.159000,0 days 00:00:32.839000,0 days 00:00:24.331000
GAS,5.0,0 days 00:01:21.681000,8.0,0 days 01:06:09.388000,0 days 00:00:24.223000,0 days 00:00:32.938000,0 days 00:00:24.520000
GAS,6.0,0 days 00:01:21.791000,8.0,0 days 01:07:31.179000,0 days 00:00:24.115000,0 days 00:00:33.054000,0 days 00:00:24.622000
GAS,7.0,0 days 00:01:21.964000,8.0,0 days 01:08:53.143000,0 days 00:00:24.072000,0 days 00:00:33.093000,0 days 00:00:24.799000
GAS,8.0,0 days 00:01:22.313000,8.0,0 days 01:10:15.456000,0 days 00:00:24.281000,0 days 00:00:33.253000,0 days 00:00:24.779000
GAS,9.0,0 days 00:01:22.160000,8.0,0 days 01:11:37.616000,0 days 00:00:24.177000,0 days 00:00:33.189000,0 days 00:00:24.794000
GAS,10.0,0 days 00:01:25.670000,10.0,0 days 01:13:03.286000,0 days 00:00:24.290000,0 days 00:00:33.002000,0 days 00:00:28.378000
GAS,11.0,0 days 00:01:38.838000,14.0,0 days 01:14:42.124000,0 days 00:00:42.497000,0 days 00:00:32.059000,0 days 00:00:24.282000
GAS,12.0,0 days 00:01:21.664000,14.0,0 days 01:16:03.788000,0 days 00:00:24.250000,0 days 00:00:32.881000,0 days 00:00:24.533000
GAS,13.0,0 days 00:01:22.252000,14.0,0 days 01:17:26.040000,0 days 00:00:24.287000,0 days 00:00:33.121000,0 days 00:00:24.844000
GAS,14.0,0 days 00:01:22.189000,13.0,0 days 01:18:48.229000,0 days 00:00:24.265000,0 days 00:00:33.101000,0 days 00:00:24.823000
GAS,15.0,0 days 00:01:21.939000,12.0,0 days 01:20:10.168000,0 days 00:00:24.175000,0 days 00:00:33.043000,0 days 00:00:24.721000
GAS,16.0,0 days 00:01:21.645000,12.0,0 days 01:21:31.813000,0 days 00:00:24.064000,0 days 00:00:32.816000,0 days 00:00:24.765000
GAS,17.0,0 days 00:01:21.636000,12.0,0 days 01:22:53.449000,0 days 00:00:23.999000,0 days 00:00:32.988000,0 days 00:00:24.649000
GAS,18.0,0 days 00:01:22.752000,12.0,0 days 01:24:16.201000,0 days 00:00:24.198000,0 days 00:00:33.535000,0 days 00:00:25.019000
GAS,19.0,0 days 00:01:21.937000,9.0,0 days 01:25:38.138000,0 days 00:00:23.942000,0 days 00:00:33.090000,0 days 00:00:24.905000
GAS,20.0,0 days 00:01:21.663000,8.0,0 days 01:26:59.801000,0 days 00:00:23.833000,0 days 00:00:33.058000,0 days 00:00:24.772000
GAS,21.0,0 days 00:01:21.802000,8.0,0 days 01:28:21.603000,0 days 00:00:24.137000,0 days 00:00:33.050000,0 days 00:00:24.615000
GAS,22.0,0 days 00:01:21.865000,7.0,0 days 01:29:43.468000,0 days 00:00:24.155000,0 days 00:00:33.010000,0 days 00:00:24.700000
GAS,23.0,0 days 00:01:22.333000,7.0,0 days 01:31:05.801000,0 days 00:00:24.351000,0 days 00:00:33.202000,0 days 00:00:24.780000
GAS,24.0,0 days 00:01:23.215000,8.0,0 days 01:32:29.016000,0 days 00:00:24.889000,0 days 00:00:33.487000,0 days 00:00:24.839000
GAS,25.0,0 days 00:01:22.755000,9.0,0 days 01:33:51.771000,0 days 00:00:24.214000,0 days 00:00:33.658000,0 days 00:00:24.883000
GAS,26.0,0 days 00:01:22.284000,9.0,0 days 01:35:14.055000,0 days 00:00:24.195000,0 days 00:00:33.202000,0 days 00:00:24.887000
GAS,27.0,0 days 00:01:22.195000,9.0,0 days 01:36:36.250000,0 days 00:00:24.138000,0 days 00:00:33.321000,0 days 00:00:24.736000
GAS,28.0,0 days 00:01:23.234000,10.0,0 days 01:37:59.484000,0 days 00:00:24.609000,0 days 00:00:33.698000,0 days 00:00:24.927000
GAS,29.0,0 days 00:01:22.303000,10.0,0 days 01:39:21.787000,0 days 00:00:24.200000,0 days 00:00:33.228000,0 days 00:00:24.875000
GAS,30.0,0 days 00:01:22.258000,10.0,0 days 01:40:44.045000,0 days 00:00:24.218000,0 days 00:00:33.233000,0 days 00:00:24.807000
GAS,31.0,0 days 00:01:26.267000,10.0,0 days 01:42:10.312000,0 days 00:00:24.234000,0 days 00:00:33.262000,0 days 00:00:28.771000
GAS,32.0,0 days 00:01:39.539000,17.0,0 days 01:43:49.851000,0 days 00:00:42.593000,0 days 00:00:32.379000,0 days 00:00:24.567000
GAS,33.0,0 days 00:01:21.034000,17.0,0 days 01:45:10.885000,0 days 00:00:24.169000,0 days 00:00:32.629000,0 days 00:00:24.236000
GAS,34.0,0 days 00:01:21.605000,17.0,0 days 01:46:32.490000,0 days 00:00:24.381000,0 days 00:00:32.643000,0 days 00:00:24.581000
GAS,35.0,0 days 00:01:21.279000,16.0,0 days 01:47:53.769000,0 days 00:00:24.078000,0 days 00:00:32.685000,0 days 00:00:24.516000
GAS,36.0,0 days 00:01:22.880000,15.0,0 days 01:49:16.649000,0 days 00:00:24.027000,0 days 00:00:33.903000,0 days 00:00:24.950000
GAS,37.0,0 days 00:01:21.429000,15.0,0 days 01:50:38.078000,0 days 00:00:23.870000,0 days 00:00:32.791000,0 days 00:00:24.768000
GAS,38.0,0 days 00:01:22.230000,15.0,0 days 01:52:00.308000,0 days 00:00:24.913000,0 days 00:00:32.858000,0 days 00:00:24.459000
GAS,39.0,0 days 00:01:21.231000,15.0,0 days 01:53:21.539000,0 days 00:00:24.084000,0 days 00:00:32.792000,0 days 00:00:24.355000
GAS,40.0,0 days 00:01:22.499000,15.0,0 days 01:54:44.038000,0 days 00:00:23.737000,0 days 00:00:34.253000,0 days 00:00:24.509000
GAS,41.0,0 days 00:01:21.126000,15.0,0 days 01:56:05.164000,0 days 00:00:23.944000,0 days 00:00:32.855000,0 days 00:00:24.327000
GAS,42.0,0 days 00:01:20.758000,15.0,0 days 01:57:25.922000,0 days 00:00:23.769000,0 days 00:00:32.552000,0 days 00:00:24.437000
GAS,43.0,0 days 00:01:20.810000,13.0,0 days 01:58:46.732000,0 days 00:00:23.848000,0 days 00:00:32.688000,0 days 00:00:24.274000
GAS,44.0,0 days 00:01:21.204000,12.0,0 days 02:00:07.936000,0 days 00:00:23.992000,0 days 00:00:32.816000,0 days 00:00:24.396000
GAS,45.0,0 days 00:01:20.750000,11.0,0 days 02:01:28.686000,0 days 00:00:23.794000,0 days 00:00:32.497000,0 days 00:00:24.459000
GAS,46.0,0 days 00:01:20.563000,11.0,0 days 02:02:49.249000,0 days 00:00:23.753000,0 days 00:00:32.528000,0 days 00:00:24.282000
GAS,47.0,0 days 00:01:20.421000,11.0,0 days 02:04:09.670000,0 days 00:00:23.815000,0 days 00:00:32.367000,0 days 00:00:24.239000
GAS,48.0,0 days 00:01:20.624000,11.0,0 days 02:05:30.294000,0 days 00:00:23.644000,0 days 00:00:32.634000,0 days 00:00:24.346000
GAS,49.0,0 days 00:01:20.646000,10.0,0 days 02:06:50.940000,0 days 00:00:23.588000,0 days 00:00:32.751000,0 days 00:00:24.307000
GAS,50.0,0 days 00:01:20.035000,10.0,0 days 02:08:10.975000,0 days 00:00:23.262000,0 days 00:00:32.418000,0 days 00:00:24.355000
GAS,51.0,0 days 00:01:21.884000,10.0,0 days 02:09:32.859000,0 days 00:00:23.603000,0 days 00:00:33.767000,0 days 00:00:24.514000
GAS,52.0,0 days 00:01:22.812000,10.0,0 days 02:10:55.671000,0 days 00:00:24.534000,0 days 00:00:33.938000,0 days 00:00:24.340000
GAS,53.0,0 days 00:01:20.163000,10.0,0 days 02:12:15.834000,0 days 00:00:23.673000,0 days 00:00:32.317000,0 days 00:00:24.173000
GAS,54.0,0 days 00:01:34.583000,9.0,0 days 02:13:50.417000,0 days 00:00:23.761000,0 days 00:00:38.619000,0 days 00:00:32.203000
GAS,55.0,0 days 00:01:50.935000,9.0,0 days 02:15:41.352000,0 days 00:00:33.188000,0 days 00:00:43.338000,0 days 00:00:34.409000
GAS,56.0,0 days 00:01:46.806000,9.0,0 days 02:17:28.158000,0 days 00:00:45.001000,0 days 00:00:34.027000,0 days 00:00:27.778000
GAS,57.0,0 days 00:01:28.262000,9.0,0 days 02:18:56.420000,0 days 00:00:24.171000,0 days 00:00:33.891000,0 days 00:00:30.200000
GAS,58.0,0 days 00:01:38.581000,9.0,0 days 02:20:35.001000,0 days 00:00:27.991000,0 days 00:00:35.849000,0 days 00:00:34.741000
GAS,59.0,0 days 00:02:05.240000,9.0,0 days 02:22:40.241000,0 days 00:00:39.512000,0 days 00:00:48.463000,0 days 00:00:37.265000
GAS,60.0,0 days 00:01:54.878000,9.0,0 days 02:24:35.119000,0 days 00:00:32.226000,0 days 00:00:46.395000,0 days 00:00:36.257000
GAS,61.0,0 days 00:01:20.103000,9.0,0 days 02:25:55.222000,0 days 00:00:23.923000,0 days 00:00:32.461000,0 days 00:00:23.719000
GAS,62.0,0 days 00:01:18.745000,9.0,0 days 02:27:13.967000,0 days 00:00:23.476000,0 days 00:00:31.646000,0 days 00:00:23.623000
GAS,63.0,0 days 00:01:17.896000,9.0,0 days 02:28:31.863000,0 days 00:00:22.849000,0 days 00:00:31.475000,0 days 00:00:23.572000
GAS,64.0,0 days 00:01:18.791000,9.0,0 days 02:29:50.654000,0 days 00:00:23.024000,0 days 00:00:31.870000,0 days 00:00:23.897000
GAS,65.0,0 days 00:01:19.102000,9.0,0 days 02:31:09.756000,0 days 00:00:23.314000,0 days 00:00:31.958000,0 days 00:00:23.830000
GAS,66.0,0 days 00:01:19.149000,9.0,0 days 02:32:28.905000,0 days 00:00:23.334000,0 days 00:00:31.990000,0 days 00:00:23.825000
ANT,1.0,0 days 00:01:27.381000,7.0,0 days 01:00:41.029000,,0 days 00:00:34.011000,0 days 00:00:24.402000
ANT,2.0,0 days 00:01:22.112000,7.0,0 days 01:02:03.141000,0 days 00:00:24.554000,0 days 00:00:33.438000,0 days 00:00:24.120000
ANT,3.0,0 days 00:01:21.874000,7.0,0 days 01:03:25.015000,0 days 00:00:24.292000,0 days 00:00:33.119000,0 days 00:00:24.463000
ANT,4.0,0 days 00:01:21.374000,7.0,0 days 01:04:46.389000,0 days 00:00:24.270000,0 days 00:00:32.687000,0 days 00:00:24.417000
ANT,5.0,0 days 00:01:21.368000,7.0,0 days 01:06:07.757000,0 days 00:00:24.076000,0 days 00:00:32.712000,0 days 00:00:24.580000
ANT,6.0,0 days 00:01:21.477000,7.0,0 days 01:07:29.234000,0 days 00:00:24.236000,0 days 00:00:32.726000,0 days 00:00:24.515000
ANT,7.0,0 days 00:01:21.707000,7.0,0 days 01:08:50.941000,0 days 00:00:24.145000,0 days 00:00:32.984000,0 days 00:00:24.578000
ANT,8.0,0 days 00:01:21.857000,7.0,0 days 01:10:12.798000,0 days 00:00:24.190000,0 days 00:00:33.080000,0 days 00:00:24.587000
ANT,9.0,0 days 00:01:21.744000,7.0,0 days 01:11:34.542000,0 days 00:00:24.186000,0 days 00:00:32.947000,0 days 00:00:24.611000
ANT,10.0,0 days 00:01:21.991000,7.0,0 days 01:12:56.533000,0 days 00:00:24.225000,0 days 00:00:33.045000,0 days 00:00:24.721000
ANT,11.0,0 days 00:01:22.021000,7.0,0 days 01:14:18.554000,0 days 00:00:24.286000,0 days 00:00:33.067000,0 days 00:00:24.668000
ANT,12.0,0 days 00:01:21.736000,7.0,0 days 01:15:40.290000,0 days 00:00:24.154000,0 days 00:00:32.913000,0 days 00:00:24.669000
ANT,13.0,0 days 00:01:21.845000,7.0,0 days 01:17:02.135000,0 days 00:00:24.197000,0 days 00:00:32.970000,0 days 00:00:24.678000
ANT,14.0,0 days 00:01:22.313000,6.0,0 days 01:18:24.448000,0 days 00:00:24.211000,0 days 00:00:33.233000,0 days 00:00:24.869000
ANT,15.0,0 days 00:01:22.181000,6.0,0 days 01:19:46.629000,0 days 00:00:24.313000,0 days 00:00:33.056000,0 days 00:00:24.812000
ANT,16.0,0 days 00:01:21.899000,6.0,0 days 01:21:08.528000,0 days 00:00:24.150000,0 days 00:00:33.035000,0 days 00:00:24.714000
ANT,17.0,0 days 00:01:22.217000,6.0,0 days 01:22:30.745000,0 days 00:00:23.948000,0 days 00:00:33.093000,0 days 00:00:25.176000
ANT,18.0,0 days 00:01:22.441000,5.0,0 days 01:23:53.186000,0 days 00:00:24.129000,0 days 00:00:33.410000,0 days 00:00:24.902000
ANT,19.0,0 days 00:01:22.260000,5.0,0 days 01:25:15.446000,0 days 00:00:24.163000,0 days 00:00:33.251000,0 days 00:00:24.846000
ANT,20.0,0 days 00:01:22.540000,5.0,0 days 01:26:37.986000,0 days 00:00:24.225000,0 days 00:00:33.376000,0 days 00:00:24.939000
ANT,21.0,0 days 00:01:26.745000,4.0,0 days 01:28:04.731000,0 days 00:00:24.293000,0 days 00:00:33.587000,0 days 00:00:28.865000
ANT,22.0,0 days 00:01:39.685000,8.0,0 days 01:29:44.416000,0 days 00:00:42.942000,0 days 00:00:32.668000,0 days 00:00:24.075000
ANT,23.0,0 days 00:01:21.650000,8.0,0 days 01:31:06.066000,0 days 00:00:23.925000,0 days 00:00:32.939000,0 days 00:00:24.786000
ANT,24.0,0 days 00:01:20.507000,7.0,0 days 01:32:26.573000,0 days 00:00:23.652000,0 days 00:00:32.590000,0 days 00:00:24.265000
ANT,25.0,0 days 00:01:20.894000,7.0,0 days 01:33:47.467000,0 days 00:00:23.953000,0 days 00:00:32.575000,0 days 00:00:24.366000
ANT,26.0,0 days 00:01:20.774000,7.0,0 days 01:35:08.241000,0 days 00:00:24.039000,0 days 00:00:32.439000,0 days 00:00:24.296000
ANT,27.0,0 days 00:01:20.696000,7.0,0 days 01:36:28.937000,0 days 00:00:24.022000,0 days 00:00:32.437000,0 days 00:00:24.237000
ANT,28.0,0 days 00:01:20.485000,7.0,0 days 01:37:49.422000,0 days 00:00:23.799000,0 days 00:00:32.421000,0 days 00:00:24.265000
ANT,29.0,0 days 00:01:20.518000,7.0,0 days 01:39:09.940000,0 days 00:00:23.794000,0 days 00:00:32.453000,0 days 00:00:24.271000
ANT,30.0,0 days 00:01:20.395000,7.0,0 days 01:40:30.335000,0 days 00:00:23.719000,0 days 00:00:32.424000,0 days 00:00:24.252000
ANT,31.0,0 days 00:01:20.529000,7.0,0 days 01:41:50.864000,0 days 00:00:23.800000,0 days 00:00:32.406000,0 days 00:00:24.323000
ANT,32.0,0 days 00:01:20.475000,7.0,0 days 01:43:11.339000,0 days 00:00:23.837000,0 days 00:00:32.496000,0 days 00:00:24.142000
ANT,33.0,0 days 00:01:20.549000,7.0,0 days 01:44:31.888000,0 days 00:00:23.828000,0 days 00:00:32.473000,0 days 00:00:24.248000
ANT,34.0,0 days 00:01:20.924000,7.0,0 days 01:45:52.812000,0 days 00:00:23.881000,0 days 00:00:32.677000,0 days 00:00:24.366000
ANT,35.0,0 days 00:01:20.728000,7.0,0 days 01:47:13.540000,0 days 00:00:23.898000,0 days 00:00:32.617000,0 days 00:00:24.213000
ANT,36.0,0 days 00:01:20.730000,7.0,0 days 01:48:34.270000,0 days 00:00:23.846000,0 days 00:00:32.632000,0 days 00:00:24.252000
ANT,37.0,0 days 00:01:20.752000,7.0,0 days 01:49:55.022000,0 days 00:00:23.863000,0 days 00:00:32.601000,0 days 00:00:24.288000
ANT,38.0,0 days 00:01:20.581000,7.0,0 days 01:51:15.603000,0 days 00:00:23.854000,0 days 00:00:32.459000,0 days 00:00:24.268000
ANT,39.0,0 days 00:01:20.371000,7.0,0 days 01:52:35.974000,0 days 00:00:23.705000,0 days 00:00:32.442000,0 days 00:00:24.224000
ANT,40.0,0 days 00:01:20.456000,7.0,0 days 01:53:56.430000,0 days 00:00:23.755000,0 days 00:00:32.484000,0 days 00:00:24.217000
ANT,41.0,0 days 00:01:20.705000,7.0,0 days 01:55:17.135000,0 days 00:00:23.733000,0 days 00:00:32.706000,0 days 00:00:24.266000
ANT,42.0,0 days 00:01:20.713000,6.0,0 days 01:56:37.848000,0 days 00:00:23.664000,0 days 00:00:32.839000,0 days 00:00:24.210000
ANT,43.0,0 days 00:01:20.711000,6.0,0 days 01:57:58.559000,0 days 00:00:23.730000,0 days 00:00:32.735000,0 days 00:00:24.246000
ANT,44.0,0 days 00:01:21.604000,7.0,0 days 01:59:20.163000,0 days 00:00:23.810000,0 days 00:00:32.625000,0 days 00:00:25.169000
ANT,45.0,0 days 00:01:21.289000,7.0,0 days 02:00:41.452000,0 days 00:00:24.071000,0 days 00:00:32.956000,0 days 00:00:24.262000
ANT,46.0,0 days 00:01:20.941000,7.0,0 days 02:02:02.393000,0 days 00:00:23.817000,0 days 00:00:32.700000,0 days 00:00:24.424000
ANT,47.0,0 days 00:01:20.622000,6.0,0 days 02:03:23.015000,0 days 00:00:23.807000,0 days 00:00:32.586000,0 days 00:00:24.229000
ANT,48.0,0 days 00:01:20.434000,6.0,0 days 02:04:43.449000,0 days 00:00:23.773000,0 days 00:00:32.478000,0 days 00:00:24.183000
ANT,49.0,0 days 00:01:24.211000,7.0,0 days 02:06:07.660000,0 days 00:00:23.722000,0 days 00:00:32.522000,0 days 00:00:27.967000
ANT,50.0,0 days 00:01:40.297000,7.0,0 days 02:07:47.957000,0 days 00:00:44.518000,0 days 00:00:32.152000,0 days 00:00:23.627000
